id,company,country,industry,year,ai_adoption_percentage,primary_ai_application,disruption_level,revenue_growth,cost_reduction,esg_score,primary_esg_impact,sustainable_growth_index,innovation_index,employee_satisfaction,market_share_change
1,SpaceVentures,Sweden,Agriculture,2020,47.33,Predictive Maintenance,Low,3.55,23.26,88.23,Social Inclusion,0.64,75.67,99.45,1.11
2,GreenMobility,India,Telecommunications,2023,99.35,Customer Service,Low,43.62,33.55,82.23,Biodiversity Protection,0.93,100,88.27,14.4
3,AIFirst,China,Biotechnology,2023,107.47,Personalization,Low,44.53,32.37,118.2,Transparency,1.12,100,86.01,12.12
4,GreenMobility,Brazil,Agriculture,2021,48.65,Autonomous Systems,High,54.23,15.99,65.22,Community Development,0.55,100,77.05,18.67
5,DataDynamics,Italy,Finance,2020,65.87,Customer Service,Medium,22.14,18.33,97.48,Carbon Footprint Reduction,0.79,100,84.61,7.23
6,CyberSecure,United States,Energy,2022,73.41,Fraud Detection,Medium,36.15,25.5,92.86,Employee Well-being,0.81,100,81.78,10.06
7,EduTech,South Korea,Entertainment,2021,97.79,Fraud Detection,Revolutionary,19.67,13.7,92.13,Transparency,0.96,100,96.0,5.33
8,EcoSolutions,Indonesia,Entertainment,2021,78.5,Fraud Detection,Medium,3.08,13.77,93.15,Social Inclusion,0.84,100,90.45,0.95
9,QuantumLeap,Canada,Entertainment,2020,57.35,Content Creation,High,2.54,25.48,69.58,Waste Management,0.62,87.38,84.41,0.79
10,GlobalFinance,Brazil,Energy,2023,65.77,Predictive Maintenance,High,18.4,17.27,62.58,Waste Management,0.64,100,95.73,5.1
11,EduTech,United Kingdom,Transportation,2022,87.61,Fraud Detection,Medium,48.79,12.33,74.77,Carbon Footprint Reduction,0.82,100,88.36,13.56
12,QuantumLeap,Singapore,Aerospace,2021,96.39,Personalization,Low,7.51,14.1,62.89,Carbon Footprint Reduction,0.83,100,91.85,2.29
13,AgroTech,Netherlands,Aerospace,2021,74.43,Fraud Detection,Medium,45.43,11.8,79.52,Community Development,0.76,100,98.83,14.77
14,DataDynamics,United States,Agriculture,2023,52.25,Process Optimization,Low,34.15,30.62,89.34,Employee Well-being,0.67,89.57,98.63,8.4
15,EnergyFuture,United States,Entertainment,2024,81.68,Predictive Maintenance,Low,24.39,21.07,98.75,Social Inclusion,0.89,100,94.5,8.72
16,AgroTech,United Kingdom,Telecommunications,2024,117.02,Drug Discovery,Medium,56.96,12.0,98.54,Carbon Footprint Reduction,1.1,100,90.47,17.35
17,CyberSecure,Italy,Education,2021,60.76,Supply Chain Optimization,Medium,23.95,15.02,72.26,Water Conservation,0.65,84.02,81.33,6.85
18,DataDynamics,Switzerland,Automotive,2023,118.98,Predictive Maintenance,Low,26.1,22.01,96.37,Waste Management,1.1,100,100,6.63
19,AgroTech,United States,Agriculture,2020,48.69,Supply Chain Optimization,Medium,5.52,17.91,89.46,Waste Management,0.65,100,91.04,1.68
20,AgroTech,Spain,Real Estate,2022,66.74,Process Optimization,Low,19.55,14.45,98.26,Community Development,0.79,87.83,88.69,6.22
21,FintechFront,Sweden,Finance,2024,91.71,Autonomous Systems,Low,6.97,14.91,61.0,Social Inclusion,0.79,89.6,76.86,1.98
22,RoboWorks,Indonesia,Finance,2021,102.08,Fraud Detection,Medium,6.55,23.98,78.47,Ethical Supply Chain,0.93,100,95.53,2.23
23,CleanEnergy,Italy,Retail,2022,72.61,Predictive Maintenance,Low,1.36,20.3,86.9,Energy Efficiency,0.78,100,91.18,0.33
24,HealthInnovate,Italy,Manufacturing,2021,76.59,Supply Chain Optimization,Medium,41.51,11.06,64.91,Ethical Supply Chain,0.72,100,87.77,10.87
25,AgroTech,Italy,Entertainment,2023,105.4,Supply Chain Optimization,Medium,9.97,25.55,113.91,Energy Efficiency,1.09,100,97.08,3.16
26,RoboWorks,Russia,Automotive,2023,105.06,Product Design,Low,38.49,26.94,119.79,Employee Well-being,1.11,100,100,13.57
27,SmartRetail,China,Finance,2020,100.6,Supply Chain Optimization,High,47.64,41.73,75.51,Transparency,0.91,100,90.78,11.95
28,DataDynamics,Sweden,Energy,2020,48.83,Customer Service,Low,24.99,15.43,80.97,Community Development,0.62,94.63,94.78,8.22
29,RoboWorks,Indonesia,Education,2020,69.61,Personalization,Low,4.15,32.75,67.11,Water Conservation,0.69,100,93.55,1.36
30,GreenMobility,Italy,Real Estate,2020,48.5,Product Design,Low,7.69,22.97,75.99,Carbon Footprint Reduction,0.59,100,94.49,2.01
31,EduTech,France,Energy,2022,64.17,Drug Discovery,High,29.92,17.97,98.62,Energy Efficiency,0.78,100,90.17,8.65
32,DataDynamics,India,Finance,2021,82.08,Autonomous Systems,High,15.11,25.19,111.18,Energy Efficiency,0.94,100,100,4.79
33,BioGen,Mexico,Retail,2024,110.83,Fraud Detection,Medium,42.22,38.17,76.07,Social Inclusion,0.97,100,77.01,12.9
34,EduTech,Spain,Education,2022,71.67,Customer Service,Medium,48.88,23.94,90.3,Transparency,0.79,100,93.33,15.87
35,EduTech,United States,Healthcare,2024,94.81,Autonomous Systems,Low,39.33,32.12,115.32,Social Inclusion,1.03,100,100,10.32
